,Poll End Date,Source,Voting Intention,LIBERAL,NATIONAL,COALITION,ALP,GREENS,PALMER UNITED,FAMILY FIRST,DEMOCRATS,PAULINE HANSON / ONE NATION,OTHERS,Two Party Preferred,COALITION (2PP),LABOR (2PP),PM Satisfaction,SATISFIED (PM),DISSATISFIED (PM),LOTO Satisfaction,SATISFIED (LOTO),DISSATISFIED (LOTO),Preferred PM,PRIME MINISTER (PPM),OPPOSITION LEADER (PPM),,PRIME MINISTER,OPPOSITION LEADER
44_LNC_TA_ALP_BS,17-May-14,Newspoll,,,,36,38,11,,,,,15,,45,55,,30,60,,42,39,,34,44,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,17-May-14,Nielsen,,,,35,40,14,6,,,,6,,44,56,,34,62,,47,39,,40,51,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,17-May-14,Galaxy,,,,38,38,10,8,,,,6,,47,53,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,12-May-14,Essential,,38,3,40,39,9,5,,,,8,,48,52,,35,55,,35,37,,36,37,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,10-May-14,ReachTEL,,,,37.8,39.8,10.5,7,,,,4.9,,46,54,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,06-May-14,Essential,,38,3,40,38,10,5,,,,8,,48,52,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,04-May-14,Morgan Multi,,35.5,2,37.5,37,12,5.5,,,,8,,45,55,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,04-May-14,Newspoll,,,,38,34,14,,,,,14,,47,53,,35,56,,35,41,,40,38,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,03-May-14,ReachTEL,,34.6,4.3,38.9,39.6,11.2,6,,,,4.3,,46,54,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,01-May-14,Galaxy,,,,39,37,11,6,,,,7,,48,52,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,29-Apr-14,Essential,,38,2,40,38,10,5,,,,6,,48,52,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,22-Apr-14,Essential,,39,2,41,37,11,5,,,,6,,49,51,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,20-Apr-14,Morgan Multi,,36.5,2,38.5,34,13,5,,,,9.5,,48,52,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,15-Apr-14,Essential,,40,3,42,37,10,4,,,,7,,50,50,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,12-Apr-14,Nielsen,,,,40,34,17,4,,,,5,,48,52,,43,50,,43,41,,45,44,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,08-Apr-14,Essential,,40,3,42,38,9,3,,,,8,,49,51,,41,47,,34,38,,42,32,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,08-Apr-14,Newspoll,,,,43,34,11,,,,,12,,51,49,,40,47,,32,41,,41,33,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,06-Apr-14,Morgan Multi,,,,38.5,34.5,12,5,,,,10,,48.5,51.5,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,01-Apr-14,Essential,,40,2,42,39,9,3,,,,7,,49,51,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,31-Mar-14,Newspoll,,,,40,36,12,,,,,12,,48,52,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,30-Mar-14,Galaxy,,,,43,37,10,4,,,,6,,50,50,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,27-Mar-14,ReachTEL,,36.4,4.3,40.7,39.2,9.4,4.4,,,,6.2,,48,52,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,25-Mar-14,Essential,,41,3,44,37,9,4,,,,7,,51,49,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,23-Mar-14,Morgan Multi,,36,2,38,38.5,11,,,,,12.5,,45.5,54.5,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,22-Mar-14,Newspoll,,,,40,36,13,,,,,11,,48,52,,40,50,,36,43,,43,36,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,18-Mar-14,Essential,,40,3,43,36,9,,,,,12,,51,49,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,15-Mar-14,Nielsen,,,,44,35,12,4,,,,6,,51,49,,45,49,,42,42,,48,43,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,11-Mar-14,Essential,,40,3,42,38,8,4,,,,8,,50,50,,40,47,,32,39,,39,33,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,10-Mar-14,Newspoll,,,,41,35,11,,,,,13,,49,51,,38,50,,33,43,,42,36,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,09-Mar-14,Morgan Multi,,37.5,2,39.5,37,12,4,,,,7.5,,46.5,53.5,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,04-Mar-14,Essential,,41,3,44,38,8,3,,,,7,,51,49,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,27-Feb-14,ReachTEL,,36.2,4.1,40.3,39.2,10.5,4.4,,,,5.6,,47,53,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,25-Feb-14,Essential,,39,3,42,39,9,4,,,,7,,49,51,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,24-Feb-14,Newspoll,,,,39,39,10,,,,,12,,46,54,,36,52,,35,39,,38,37,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,23-Feb-14,Morgan Multi,,38.5,2.5,41,35.5,10.5,4.5,,,,8.5,,49.5,50.5,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,18-Feb-14,Essential,,38,3,41,40,8,4,,,,8,,49,51,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,15-Feb-14,Nielsen,,,,44,33,12,,,,,11,,52,48,,45,47,,40,40,,49,39,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,11-Feb-14,Essential,,40,3,43,39,8,3,,,,7,,50,50,,41,47,,30,34,,40,30,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,10-Feb-14,Newspoll,,,,41,35,12,,,,,12,,49,51,,40,45,,35,35,,41,33,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,09-Feb-14,Morgan Multi,,38.5,2,40.5,37,10.5,4.5,,,,7.5,,48,52,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,04-Feb-14,Essential,,40,3,43,38,8,3,,,,7,,50,50,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,28-Jan-14,Essential,,40,3,42,36,9,,,,,13,,50,50,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,26-Jan-14,Morgan Multi,,37.5,2,39.5,37,11.5,,,,,12,,47,53,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,23-Jan-14,ReachTEL,,35.3,4.5,39.8,40.6,9.1,4.6,,,,5.9,,47,53,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,21-Jan-14,Essential,,40,3,43,37,9,,,,,11,,51,49,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,14-Jan-14,Essential,,42,3,45,38,8,,,,,10,,51,49,,47,43,,35,32,,42,31,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,12-Jan-14,Morgan Multi,,37,2,39,38,10.5,,,,,12.5,,47.5,52.5,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,17-Dec-13,Essential,,41,3,44,37,7,,,,,12,,51,49,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,15-Dec-13,ReachTEL,,35.7,5.7,41.4,40.4,8.7,5.1,,,,4.4,,48,52,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,15-Dec-13,Morgan Multi,,38.5,2,40.5,38.5,10,,,,,11,,47.5,52.5,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,10-Dec-13,Newspoll,,,,40,38,9,,,,,13,,48,52,,40,45,,44,27,,41,34,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,10-Dec-13,Essential,,41,3,44,37,8,,,,,12,,51,49,,45,46,,39,31,,43,33,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,03-Dec-13,Essential,,41,3,44,36,8,,,,,11,,52,48,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,01-Dec-13,Morgan Multi,,39.5,2,41.5,38.5,8.5,,,,,11.5,,48.5,51.5,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,26-Nov-13,Essential,,41,3,44,36,9,,,,,11,,53,47,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,26-Nov-13,Newspoll,,,,43,35,10,,,,,12,,52,48,,42,42,,39,27,,44,33,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,23-Nov-13,Nielsen,,,,41,37,11,,,,,11,,48,52,,47,46,,51,30,,49,41,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,21-Nov-13,ReachTEL,,40.5,3.3,43.8,34.2,9.8,6.6,,,,5.7,,51,49,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,19-Nov-13,Essential,,41,3,44,35,9,,,,,11,,53,47,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,18-Nov-13,Morgan Multi,,40,2.5,42.5,32.5,11,,,,,14,,51,49,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,12-Nov-13,Newspoll,,,,45,32,12,,,,,11,,53,47,,45,38,,37,24,,46,30,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,12-Nov-13,Essential,,42,3,44,35,9,,,,,12,,53,47,,45,40,,31,27,,42,27,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,05-Nov-13,Essential,,43,2,45,36,8,,,,,11,,53,47,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,03-Nov-13,Morgan Multi,,40,1.5,41.5,35,10.5,,,,,13,,50,50,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,29-Oct-13,Essential,,42,3,45,35,10,,,,,11,,53,47,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,28-Oct-13,Newspoll,,,,47,31,10,,,,,12,,56,44,,47,34,,32,24,,47,28,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,22-Oct-13,Essential,,41,3,44,34,10,,,,,11,,53,47,,46,35,,,,,41,22,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,20-Oct-13,Morgan Multi,,41,2.5,43.5,34.5,10,,,,,12,,51.5,48.5,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,15-Oct-13,Essential,,41,2,43,35,10,,,,,12,,52,48,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,10-Oct-13,ReachTEL,,41.1,4.3,45.4,35.3,8.6,5.7,,,,4.9,,52,48,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,08-Oct-13,Essential,,40,3,43,35,9,,,,,12,,52,48,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_BS,07-Oct-13,LOTO Change,,,,,,,,,,,,,,,,,,,,,,,,,MR TONY ABBOTT,MR BILL SHORTEN
44_LNC_TA_ALP_CB,06-Oct-13,Morgan Multi,,40,2,42,37,9,,,,,12,,49.5,50.5,,,,,,,,,,,MR TONY ABBOTT,MR CHRIS BOWEN A/g
44_LNC_TA_ALP_CB,01-Oct-13,Essential,,40,3,43,36,9,,,,,12,,52,48,,,,,,,,,,,MR TONY ABBOTT,MR CHRIS BOWEN A/g
