,Poll End Date,Source,,Party,,NATIONAL,By State,NEW SOUTH WALES,VICTORIA,QUEENSLAND,SOUTH AUSTRALIA/NT,WESTERN AUSTRALIA,By Geographic,CAPITALS,OTHERS,By Gender,MALE,FEMALE,By Age Group (1),18-24 ,25-39,40-54,55+,By Age Group (2),18-34,35-49,50+,
44_LNC_TA_ALP_BS,17-May-14,Nielsen,,ALP,,40,,43,45,35,44,22,,39,40,,39,40,,41,37,43,39,,,,,
44_LNC_TA_ALP_BS,17-May-14,Nielsen,,COAL,,35,,36,34,40,33,34,,34,37,,38,33,,27,30,35,43,,,,,
44_LNC_TA_ALP_BS,17-May-14,Nielsen,,GRN,,14,,14,15,7,14,23,,17,8,,12,16,,22,18,10,10,,,,,
44_LNC_TA_ALP_BS,17-May-14,Nielsen,,PUP,,6,,3,2,10,3,13,,4,8,,6,5,,4,6,6,5,,,,,
44_LNC_TA_ALP_BS,17-May-14,Nielsen,,OTH,,6,,5,4,8,6,7,,5,6,,5,6,,6,8,7,3,,,,,
44_LNC_TA_ALP_BS,12-Apr-14,Nielsen,,ALP,,34,,33,37,38,38,20,,35,32,,32,37,,36,34,35,33,,,,,
44_LNC_TA_ALP_BS,12-Apr-14,Nielsen,,COAL,,40,,43,40,38,39,37,,39,42,,41,39,,32,33,39,49,,,,,
44_LNC_TA_ALP_BS,12-Apr-14,Nielsen,,GRN,,17,,15,19,11,12,27,,17,16,,17,16,,26,23,15,10,,,,,
44_LNC_TA_ALP_BS,12-Apr-14,Nielsen,,IND,,4,,3,2,9,3,11,,4,5,,5,4,,2,5,7,4,,,,,
44_LNC_TA_ALP_BS,12-Apr-14,Nielsen,,OTH,,5,,6,3,5,9,5,,4,5,,5,4,,4,6,5,4,,,,,
44_LNC_TA_ALP_BS,31-Mar-14,Newspoll,,ALP,,36,,38,38,34,38,29,,38,34,,37,35,,,,,,,38,37,34,
44_LNC_TA_ALP_BS,31-Mar-14,Newspoll,,COAL,,40,,40,36,41,37,46,,37,43,,40,39,,,,,,,29,37,48,
44_LNC_TA_ALP_BS,31-Mar-14,Newspoll,,GRN,,12,,11,15,8,9,15,,14,9,,10,14,,,,,,,18,14,7,
44_LNC_TA_ALP_BS,31-Mar-14,Newspoll,,OTH,,12,,11,11,17,16,10,,11,14,,13,12,,,,,,,15,12,11,
44_LNC_TA_ALP_BS,15-Mar-14,Nielsen,,ALP,,35,,36,38,34,38,31,,40,28,,34,37,,43,38,34,32,,,,,
44_LNC_TA_ALP_BS,15-Mar-14,Nielsen,,COAL,,44,,45,41,44,38,46,,40,50,,45,43,,30,37,40,57,,,,,
44_LNC_TA_ALP_BS,15-Mar-14,Nielsen,,GRN,,12,,11,15,9,9,12,,13,9,,11,12,,20,14,13,5,,,,,
44_LNC_TA_ALP_BS,15-Mar-14,Nielsen,,PUP,,4,,2,2,8,5,4,,2,6,,4,3,,4,4,4,2,,,,,
44_LNC_TA_ALP_BS,15-Mar-14,Nielsen,,OTH,,6,,7,3,5,10,7,,5,6,,7,5,,4,8,8,3,,,,,
44_LNC_TA_ALP_BS,15-Feb-14,Nielsen,,ALP,,33,,34,33,33,34,29,,34,31,,31,35,,39,33,34,29,,,,,
44_LNC_TA_ALP_BS,15-Feb-14,Nielsen,,COAL,,44,,45,44,45,45,42,,43,46,,45,43,,29,40,44,54,,,,,
44_LNC_TA_ALP_BS,15-Feb-14,Nielsen,,GRN,,12,,13,14,8,11,14,,13,10,,11,13,,21,16,10,7,,,,,
44_LNC_TA_ALP_BS,15-Feb-14,Nielsen,,IND,,6,,5,4,8,9,7,,5,7,,6,5,,2,5,7,7,,,,,
44_LNC_TA_ALP_BS,15-Feb-14,Nielsen,,OTH,,5,,4,6,7,2,8,,5,6,,7,4,,8,6,5,4,,,,,
44_LNC_TA_ALP_BS,27-Dec-13,Newspoll,,ALP,,35,,36,34,32,33,36,,37,31,,33,36,,,,,,,36,33,34,
44_LNC_TA_ALP_BS,27-Dec-13,Newspoll,,COAL,,43,,45,41,44,42,41,,42,44,,44,41,,,,,,,35,43,49,
44_LNC_TA_ALP_BS,27-Dec-13,Newspoll,,GRN,,10,,9,14,8,9,10,,11,9,,9,12,,,,,,,16,11,6,
44_LNC_TA_ALP_BS,27-Dec-13,Newspoll,,OTH,,12,,10,11,16,16,13,,10,16,,14,11,,,,,,,13,13,11,
44_LNC_TA_ALP_BS,23-Nov-13,Nielsen,,ALP,,37,,35,39,42,28,33,,37,36,,36,37,,46,41,32,34,,,,,
44_LNC_TA_ALP_BS,23-Nov-13,Nielsen,,COAL,,41,,45,40,38,42,39,,40,43,,44,38,,31,32,45,49,,,,,
44_LNC_TA_ALP_BS,23-Nov-13,Nielsen,,GRN,,11,,10,11,8,15,14,,12,9,,9,13,,13,13,13,8,,,,,
44_LNC_TA_ALP_BS,23-Nov-13,Nielsen,,IND,,5,,4,3,6,12,5,,5,6,,4,6,,4,5,5,6,,,,,
44_LNC_TA_ALP_BS,23-Nov-13,Nielsen,,OTH,,6,,6,7,5,2,8,,6,6,,6,5,,5,8,5,4,,,,,
43_ALP_KR_LNC_TA,05-Sep-13,Newspoll,,ALP,,33,,35,33,30,31,30,,,,,,,,,,,,,,,,
43_ALP_KR_LNC_TA,05-Sep-13,Newspoll,,COAL,,46,,46,44,48,44,51,,,,,,,,,,,,,,,,
43_ALP_KR_LNC_TA,05-Sep-13,Newspoll,,GRN,,9,,8,12,5,10,11,,,,,,,,,,,,,,,,
43_ALP_KR_LNC_TA,05-Sep-13,Newspoll,,OTH,,12,,11,11,17,15,8,,,,,,,,,,,,,,,,
43_ALP_KR_LNC_TA,22-Aug-13,Nielsen,,ALP,,35,,34,36,39,38,27,,36,34,,34,37,,38,40,35,31,,,,,
