"","poll.end.date","poll.source","party","variable","value"
"1","17-May-14","Nielsen","ALP","National","40"
"2","17-May-14","Nielsen","COAL","National","35"
"3","17-May-14","Nielsen","GRN","National","14"
"4","17-May-14","Nielsen","PUP","National","6"
"5","17-May-14","Nielsen","OTH","National","6"
"6","12-Apr-14","Nielsen","ALP","National","34"
"7","12-Apr-14","Nielsen","COAL","National","40"
"8","12-Apr-14","Nielsen","GRN","National","17"
"9","12-Apr-14","Nielsen","IND","National","4"
"10","12-Apr-14","Nielsen","OTH","National","5"
"11","31-Mar-14","Newspoll","ALP","National","36"
"12","31-Mar-14","Newspoll","COAL","National","40"
"13","31-Mar-14","Newspoll","GRN","National","12"
"14","31-Mar-14","Newspoll","OTH","National","12"
"15","15-Mar-14","Nielsen","ALP","National","35"
"16","15-Mar-14","Nielsen","COAL","National","44"
"17","15-Mar-14","Nielsen","GRN","National","12"
"18","15-Mar-14","Nielsen","PUP","National","4"
"19","15-Mar-14","Nielsen","OTH","National","6"
"20","15-Feb-14","Nielsen","ALP","National","33"
"21","15-Feb-14","Nielsen","COAL","National","44"
"22","15-Feb-14","Nielsen","GRN","National","12"
"23","15-Feb-14","Nielsen","IND","National","6"
"24","15-Feb-14","Nielsen","OTH","National","5"
"25","27-Dec-13","Newspoll","ALP","National","35"
"26","27-Dec-13","Newspoll","COAL","National","43"
"27","27-Dec-13","Newspoll","GRN","National","10"
"28","27-Dec-13","Newspoll","OTH","National","12"
"29","23-Nov-13","Nielsen","ALP","National","37"
"30","23-Nov-13","Nielsen","COAL","National","41"
"31","23-Nov-13","Nielsen","GRN","National","11"
"32","23-Nov-13","Nielsen","IND","National","5"
"33","23-Nov-13","Nielsen","OTH","National","6"
"34","05-Sep-13","Newspoll","ALP","National","33"
"35","05-Sep-13","Newspoll","COAL","National","46"
"36","05-Sep-13","Newspoll","GRN","National","9"
"37","05-Sep-13","Newspoll","OTH","National","12"
"38","22-Aug-13","Nielsen","ALP","National","35"
"39","22-Aug-13","Nielsen","COAL","National","47"
"40","22-Aug-13","Nielsen","GRN","National","10"
"41","22-Aug-13","Nielsen","IND","National","3"
"42","22-Aug-13","Nielsen","OTH","National","4"
"43","18-Aug-13","Newspoll","ALP","National","35"
"44","18-Aug-13","Newspoll","COAL","National","46"
"45","18-Aug-13","Newspoll","GRN","National","10"
"46","18-Aug-13","Newspoll","OTH","National","9"
"47","08-Aug-13","Nielsen","ALP","National","37"
"48","08-Aug-13","Nielsen","COAL","National","46"
"49","08-Aug-13","Nielsen","GRN","National","10"
"50","08-Aug-13","Nielsen","IND","National","4"
"51","08-Aug-13","Nielsen","OTH","National","4"
"52","13-Jul-13","Nielsen","ALP","National","39"
"53","13-Jul-13","Nielsen","COAL","National","44"
"54","13-Jul-13","Nielsen","GRN","National","9"
"55","13-Jul-13","Nielsen","IND","National","5"
"56","13-Jul-13","Nielsen","FFP","National","1"
"57","13-Jul-13","Nielsen","OTH","National","2"
"58","24-Jun-13","Newspoll","ALP","National","31"
"59","24-Jun-13","Newspoll","COAL","National","47"
"60","24-Jun-13","Newspoll","GRN","National","10"
"61","24-Jun-13","Newspoll","OTH","National","12"
"62","15-Jun-13","Nielsen","ALP","National","29"
"63","15-Jun-13","Nielsen","COAL","National","47"
"64","15-Jun-13","Nielsen","GRN","National","11"
"65","15-Jun-13","Nielsen","IND","National","6"
"66","15-Jun-13","Nielsen","FFP","National","1"
"67","15-Jun-13","Nielsen","OTH","National","5"
"68","18-May-13","Nielsen","ALP","National","32"
"69","18-May-13","Nielsen","COAL","National","44"
"70","18-May-13","Nielsen","GRN","National","11"
"71","18-May-13","Nielsen","IND","National","6"
"72","18-May-13","Nielsen","FFP","National","2"
"73","18-May-13","Nielsen","OTH","National","5"
"74","13-Apr-13","Nielsen","IND","National","6"
"75","13-Apr-13","Nielsen","FFP","National","1"
"76","13-Apr-13","Nielsen","COAL","National","49"
"77","13-Apr-13","Nielsen","ALP","National","29"
"78","13-Apr-13","Nielsen","GRN","National","12"
"79","13-Apr-13","Nielsen","OTH","National","4"
"80","31-Mar-13","Newspoll","COAL","National","46"
"81","31-Mar-13","Newspoll","ALP","National","33"
"82","31-Mar-13","Newspoll","GRN","National","10"
"83","31-Mar-13","Newspoll","OTH","National","11"
"84","16-Mar-13","Nielsen","IND","National","6"
"85","16-Mar-13","Nielsen","FFP","National","2"
"86","16-Mar-13","Nielsen","COAL","National","47"
"87","16-Mar-13","Nielsen","ALP","National","31"
"88","16-Mar-13","Nielsen","GRN","National","10"
"89","16-Mar-13","Nielsen","OTH","National","4"
"90","16-Feb-13","Nielsen","IND","National","6"
"91","16-Feb-13","Nielsen","FFP","National","2"
"92","16-Feb-13","Nielsen","COAL","National","47"
"93","16-Feb-13","Nielsen","ALP","National","30"
"94","16-Feb-13","Nielsen","GRN","National","11"
"95","16-Feb-13","Nielsen","OTH","National","4"
"96","31-Dec-12","Newspoll","COAL","National","43"
"97","31-Dec-12","Newspoll","ALP","National","35"
"98","31-Dec-12","Newspoll","GRN","National","11"
"99","31-Dec-12","Newspoll","OTH","National","11"
"100","15-Dec-12","Nielsen","IND","National","6"
"101","15-Dec-12","Nielsen","FFP","National","2"
"102","15-Dec-12","Nielsen","COAL","National","43"
"103","15-Dec-12","Nielsen","ALP","National","35"
"104","15-Dec-12","Nielsen","GRN","National","10"
"105","15-Dec-12","Nielsen","OTH","National","4"
"106","17-Nov-12","Nielsen","IND","National","5"
"107","17-Nov-12","Nielsen","FFP","National","2"
"108","17-Nov-12","Nielsen","COAL","National","45"
"109","17-Nov-12","Nielsen","ALP","National","34"
"110","17-Nov-12","Nielsen","GRN","National","12"
"111","17-Nov-12","Nielsen","OTH","National","3"
"112","20-Oct-12","Nielsen","IND","National","6"
"113","20-Oct-12","Nielsen","FFP","National","2"
"114","20-Oct-12","Nielsen","COAL","National","43"
"115","20-Oct-12","Nielsen","ALP","National","34"
