"","poll.end.date","poll.source","party","national","new.south.wales","victoria","queensland","south.australia.nt","western.australia","capitals","others","male","female","x18.24","x25.39","x40.54","x55.","x18.34","x35.49","x50."
"1","17-May-14","Nielsen","ALP",40,"43",45,35,44,22,39,40,39,40,41,37,43,"39",NA,NA,NA
"2","17-May-14","Nielsen","COAL",35,"36",34,40,33,34,34,37,38,33,27,30,35,"43",NA,NA,NA
"3","17-May-14","Nielsen","GRN",14,"14",15,7,14,23,17,8,12,16,22,18,10,"10",NA,NA,NA
"4","17-May-14","Nielsen","PUP",6,"3",2,10,3,13,4,8,6,5,4,6,6,"5",NA,NA,NA
"5","17-May-14","Nielsen","OTH",6,"5",4,8,6,7,5,6,5,6,6,8,7,"3",NA,NA,NA
"6","12-Apr-14","Nielsen","ALP",34,"33",37,38,38,20,35,32,32,37,36,34,35,"33",NA,NA,NA
"7","12-Apr-14","Nielsen","COAL",40,"43",40,38,39,37,39,42,41,39,32,33,39,"49",NA,NA,NA
"8","12-Apr-14","Nielsen","GRN",17,"15",19,11,12,27,17,16,17,16,26,23,15,"10",NA,NA,NA
"9","12-Apr-14","Nielsen","IND",4,"3",2,9,3,11,4,5,5,4,2,5,7,"4",NA,NA,NA
"10","12-Apr-14","Nielsen","OTH",5,"6",3,5,9,5,4,5,5,4,4,6,5,"4",NA,NA,NA
"11","31-Mar-14","Newspoll","ALP",36,"38",38,34,38,29,38,34,37,35,NA,NA,NA,"",38,37,34
"12","31-Mar-14","Newspoll","COAL",40,"40",36,41,37,46,37,43,40,39,NA,NA,NA,"",29,37,48
"13","31-Mar-14","Newspoll","GRN",12,"11",15,8,9,15,14,9,10,14,NA,NA,NA,"",18,14,7
"14","31-Mar-14","Newspoll","OTH",12,"11",11,17,16,10,11,14,13,12,NA,NA,NA,"",15,12,11
"15","15-Mar-14","Nielsen","ALP",35,"36",38,34,38,31,40,28,34,37,43,38,34,"32",NA,NA,NA
"16","15-Mar-14","Nielsen","COAL",44,"45",41,44,38,46,40,50,45,43,30,37,40,"57",NA,NA,NA
"17","15-Mar-14","Nielsen","GRN",12,"11",15,9,9,12,13,9,11,12,20,14,13,"5",NA,NA,NA
"18","15-Mar-14","Nielsen","PUP",4,"2",2,8,5,4,2,6,4,3,4,4,4,"2",NA,NA,NA
"19","15-Mar-14","Nielsen","OTH",6,"7",3,5,10,7,5,6,7,5,4,8,8,"3",NA,NA,NA
