"","poll.end.date","poll.source","prime.minister","opposition.leader","variable","value"
"1",2014-05-17,"Galaxy","MR TONY ABBOTT","MR BILL SHORTEN","Coalition",38
"2",2014-05-17,"Galaxy","MR TONY ABBOTT","MR BILL SHORTEN","ALP",38
"3",2014-05-17,"Galaxy","MR TONY ABBOTT","MR BILL SHORTEN","Greens",10
"4",2014-05-17,"Galaxy","MR TONY ABBOTT","MR BILL SHORTEN","Palmer United",8
"5",2014-05-17,"Galaxy","MR TONY ABBOTT","MR BILL SHORTEN","Others",6
"6",2014-05-17,"Galaxy","MR TONY ABBOTT","MR BILL SHORTEN","Coalition (2pp)",47
"7",2014-05-17,"Galaxy","MR TONY ABBOTT","MR BILL SHORTEN","Labor (2pp)",53
"8",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Coalition",36
"9",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","ALP",38
"10",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Greens",11
"11",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Others",15
"12",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Coalition (2pp)",45
"13",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Labor (2pp)",55
"14",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Satisfied (PM)",30
"15",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Dissatisfied (PM)",60
"16",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Satisfied (LOTO)",42
"17",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Dissatisfied (LOTO)",39
"18",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Preferred Prime Minister (PM)",34
"19",2014-05-17,"Newspoll","MR TONY ABBOTT","MR BILL SHORTEN","Preferred Prime Minister (LOTO)",44
"20",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","Coalition",35
"21",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","ALP",40
"22",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","Greens",14
"23",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","Palmer United",6
"24",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","Others",6
"25",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","Coalition (2pp)",44
"26",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","Labor (2pp)",56
"27",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","Satisfied (PM)",34
"28",2014-05-17,"Nielsen","MR TONY ABBOTT","MR BILL SHORTEN","Dissatisfied (PM)",62
