"","poll.end.date","poll.source","liberal","national","coalition","alp","greens","palmer.united","family.first","democrats","pauline.hanson.one.nation","others","coalition.2pp","labor.2pp","satisfied.pm","dissatisfied.pm","satisfied.loto","dissatisfied.loto","prime.minister.ppm","opposition.leader..ppm.","prime.minister","opposition.leader"
"1",2014-05-17,"Newspoll",NA,NA,36,38,11,NA,NA,NA,NA,15,45,55,30,60,42,39,34,44,"MR TONY ABBOTT","MR BILL SHORTEN"
"2",2014-05-17,"Nielsen",NA,NA,35,40,14,6,NA,NA,NA,6,44,56,34,62,47,39,40,51,"MR TONY ABBOTT","MR BILL SHORTEN"
"3",2014-05-17,"Galaxy",NA,NA,38,38,10,8,NA,NA,NA,6,47,53,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"4",2014-05-12,"Essential",38,3,40,39,9,5,NA,NA,NA,8,48,52,35,55,35,37,36,37,"MR TONY ABBOTT","MR BILL SHORTEN"
"5",2014-05-10,"ReachTEL",NA,NA,37.8,39.8,10.5,7,NA,NA,NA,4.9,46,54,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"6",2014-05-06,"Essential",38,3,40,38,10,5,NA,NA,NA,8,48,52,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"7",2014-05-04,"Morgan Multi",35.5,2,37.5,37,12,5.5,NA,NA,NA,8,45,55,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"8",2014-05-04,"Newspoll",NA,NA,38,34,14,NA,NA,NA,NA,14,47,53,35,56,35,41,40,38,"MR TONY ABBOTT","MR BILL SHORTEN"
"9",2014-05-03,"ReachTEL",34.6,4.3,38.9,39.6,11.2,6,NA,NA,NA,4.3,46,54,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"10",2014-05-01,"Galaxy",NA,NA,39,37,11,6,NA,NA,NA,7,48,52,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"11",2014-04-29,"Essential",38,2,40,38,10,5,NA,NA,NA,6,48,52,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"12",2014-04-22,"Essential",39,2,41,37,11,5,NA,NA,NA,6,49,51,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"13",2014-04-20,"Morgan Multi",36.5,2,38.5,34,13,5,NA,NA,NA,9.5,48,52,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"14",2014-04-15,"Essential",40,3,42,37,10,4,NA,NA,NA,7,50,50,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"15",2014-04-12,"Nielsen",NA,NA,40,34,17,4,NA,NA,NA,5,48,52,43,50,43,41,45,44,"MR TONY ABBOTT","MR BILL SHORTEN"
"16",2014-04-08,"Essential",40,3,42,38,9,3,NA,NA,NA,8,49,51,41,47,34,38,42,32,"MR TONY ABBOTT","MR BILL SHORTEN"
"17",2014-04-08,"Newspoll",NA,NA,43,34,11,NA,NA,NA,NA,12,51,49,40,47,32,41,41,33,"MR TONY ABBOTT","MR BILL SHORTEN"
"18",2014-04-06,"Morgan Multi",NA,NA,38.5,34.5,12,5,NA,NA,NA,10,48.5,51.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"19",2014-04-01,"Essential",40,2,42,39,9,3,NA,NA,NA,7,49,51,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"20",2014-03-31,"Newspoll",NA,NA,40,36,12,NA,NA,NA,NA,12,48,52,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"21",2014-03-30,"Galaxy",NA,NA,43,37,10,4,NA,NA,NA,6,50,50,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"22",2014-03-27,"ReachTEL",36.4,4.3,40.7,39.2,9.4,4.4,NA,NA,NA,6.2,48,52,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"23",2014-03-25,"Essential",41,3,44,37,9,4,NA,NA,NA,7,51,49,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"24",2014-03-23,"Morgan Multi",36,2,38,38.5,11,NA,NA,NA,NA,12.5,45.5,54.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
